XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
185 BARRA BRAUNA   1    26       F                 29
185 BARRA BRAUNA   1    27       F                 29
131 N.PECANH.ART   1    23       F                  0
131 N.PECANH.ART   1    24       F                  0
131 N.PECANH.ART   1    25       F                  0
131 N.PECANH.ART   1    26       F                  0
131 N.PECANH.ART   1    27       F                  0
147    FONTES.AB   1    23       F                  0
147    FONTES.AB   1    24       F                  0
147    FONTES.AB   1    25       F                  0
147    FONTES.AB   1    26       F                  0
147    FONTES.AB   1    27       F                  0
146     FONTES.C   1    23       F                  0
146     FONTES.C   1    24       F                  0
146     FONTES.C   1    25       F                  0
146     FONTES.C   1    26       F                  0
146     FONTES.C   1    27       F                  0
133     P.PASSOS   1    23       F                  0
133     P.PASSOS   1    24       F                  0
133     P.PASSOS   1    25       F                  0
133     P.PASSOS   1    26       F                  0
133     P.PASSOS   1    27       F                  0
217        ROSAL   1    23       F                  9
217        ROSAL   1    24       F                  9
217        ROSAL   1    25       F                  9
217        ROSAL   1    26       F                  9
217        ROSAL   1    27       F                  9
134 SALTO.GRANDE   1    23       F                 20
134 SALTO.GRANDE   1    24       F                 20
134 SALTO.GRANDE   1    25       F                 20
134 SALTO.GRANDE   1    26       F                 20
134 SALTO.GRANDE   1    27       F                 20
135    P.ESTRELA   1    23       F                  1
135    P.ESTRELA   1    24       F                  1
135    P.ESTRELA   1    25       F                  1
135    P.ESTRELA   1    26       F                  1
135    P.ESTRELA   1    27       F                  1
192 GUILMAN-AMOR   1    23       F                 11
192 GUILMAN-AMOR   1    24       F                 11
192 GUILMAN-AMOR   1    25       F                 11
192 GUILMAN-AMOR   1    26       F                 11
192 GUILMAN-AMOR   1    27       F                 11
193  SA.CARVALHO   1    23       F                  1
193  SA.CARVALHO   1    24       F                  1
193  SA.CARVALHO   1    25       F                  1
193  SA.CARVALHO   1    26       F                  1
193  SA.CARVALHO   1    27       F                  1
139     CANDONGA   1    23       F                 34
139     CANDONGA   1    24       F                 34
139     CANDONGA   1    25       F                 34
139     CANDONGA   1    26       F                 34
139     CANDONGA   1    27       F                 34
141      BAGUARI   1    23       F                 48
141      BAGUARI   1    24       F                 48
141      BAGUARI   1    25       F                 48
141      BAGUARI   1    26       F                 48
141      BAGUARI   1    27       F                 48
143      AIMORES   1    23       F                 21
143      AIMORES   1    24       F                 20
143      AIMORES   1    25       F                 20
143      AIMORES   1    26       F                 20
143      AIMORES   1    27       F                 20
144  MASCARENHAS   1    23       F                 37
144  MASCARENHAS   1    24       F                 37
144  MASCARENHAS   1    25       F                 37
144  MASCARENHAS   1    26       F                 37
144  MASCARENHAS   1    27       F                 36
283 STA.CLARA.MG   1    23       F                  7
283 STA.CLARA.MG   1    24       F                  7
283 STA.CLARA.MG   1    25       F                  7
283 STA.CLARA.MG   1    26       F                  7
283 STA.CLARA.MG   1    27       F                  7
148        IRAPE   1    23       F                 17
148        IRAPE   1    24       F                 17
