VAZOES DIARIAS PARA CADA USINA (m3/s)
NUM     NOME      itp   DI HI M DF HF M      VAZAO
XXX XXXXXXXXXXXX   X    XXxXXxXxXXxXXxX     XXXXXXXXX
050   L.N.GARCEZ   1    10       F                 39
050   L.N.GARCEZ   1    11       F                 39
051    CANOAS.II   1    05       F                  3
051    CANOAS.II   1    06       F                  3
051    CANOAS.II   1    07       F                  3
051    CANOAS.II   1    08       F                  3
051    CANOAS.II   1    09       F                  3
051    CANOAS.II   1    10       F                  3
051    CANOAS.II   1    11       F                  3
052     CANOAS.I   1    05       F                  6
052     CANOAS.I   1    06       F                  6
052     CANOAS.I   1    07       F                  6
052     CANOAS.I   1    08       F                  6
052     CANOAS.I   1    09       F                  6
052     CANOAS.I   1    10       F                  6
052     CANOAS.I   1    11       F                  7
057         MAUA   1    05       F                 68
057         MAUA   1    06       F                 70
057         MAUA   1    07       F                 71
057         MAUA   1    08       F                 72
057         MAUA   1    09       F                 75
057         MAUA   1    10       F                 77
057         MAUA   1    11       F                 79
061     CAPIVARA   1    05       F                 72
061     CAPIVARA   1    06       F                 71
061     CAPIVARA   1    07       F                 72
061     CAPIVARA   1    08       F                 72
061     CAPIVARA   1    09       F                 73
061     CAPIVARA   1    10       F                 74
061     CAPIVARA   1    11       F                 77
062    TAQUARUCU   1    05       F                 30
062    TAQUARUCU   1    06       F                 30
062    TAQUARUCU   1    07       F                 30
062    TAQUARUCU   1    08       F                 30
062    TAQUARUCU   1    09       F                 30
062    TAQUARUCU   1    10       F                 30
062    TAQUARUCU   1    11       F                 30
063       ROSANA   1    05       F                 70
063       ROSANA   1    06       F                 69
063       ROSANA   1    07       F                 70
063       ROSANA   1    08       F                 69
063       ROSANA   1    09       F                 69
063       ROSANA   1    10       F                 70
063       ROSANA   1    11       F                 70
066       ITAIPU   1    05       F                725
066       ITAIPU   1    06       F                720
066       ITAIPU   1    07       F                723
066       ITAIPU   1    08       F                731
066       ITAIPU   1    09       F                744
066       ITAIPU   1    10       F                762
066       ITAIPU   1    11       F                791
071 STA.CLARA.PR   1    05       F                 48
071 STA.CLARA.PR   1    06       F                 50
071 STA.CLARA.PR   1    07       F                 50
071 STA.CLARA.PR   1    08       F                 53
071 STA.CLARA.PR   1    09       F                 58
071 STA.CLARA.PR   1    10       F                 62
071 STA.CLARA.PR   1    11       F                 64
072       FUNDAO   1    05       F                  4
072       FUNDAO   1    06       F                  4
072       FUNDAO   1    07       F                  4
072       FUNDAO   1    08       F                  4
072       FUNDAO   1    09       F                  5
072       FUNDAO   1    10       F                  5
072       FUNDAO   1    11       F                  5
073       JORDAO   1    05       F                 15
073       JORDAO   1    06       F                 15
073       JORDAO   1    07       F                 15
073       JORDAO   1    08       F                 17
073       JORDAO   1    09       F                 19
073       JORDAO   1    10       F                 21
073       JORDAO   1    11       F                 20
074   G.B.MUNHOZ   1    05       F                417
074   G.B.MUNHOZ   1    06       F                436
074   G.B.MUNHOZ   1    07       F                452
074   G.B.MUNHOZ   1    08       F                470
074   G.B.MUNHOZ   1    09       F                496
074   G.B.MUNHOZ   1    10       F                531
074   G.B.MUNHOZ   1    11       F                558
076      SEGREDO   1    05       F                 76
076      SEGREDO   1    06       F                 77
076      SEGREDO   1    07       F                 79
076      SEGREDO   1    08       F                 86
076      SEGREDO   1    09       F                 97
076      SEGREDO   1    10       F                106
076      SEGREDO   1    11       F                100
077 SLT.SANTIAGO   1    05       F                 73
077 SLT.SANTIAGO   1    06       F                 79
077 SLT.SANTIAGO   1    07       F                 85
077 SLT.SANTIAGO   1    08       F                 94
077 SLT.SANTIAGO   1    09       F                108
077 SLT.SANTIAGO   1    10       F                127
077 SLT.SANTIAGO   1    11       F                133
078 SALTO.OSORIO   1    05       F                 29
078 SALTO.OSORIO   1    06       F                 31
078 SALTO.OSORIO   1    07       F                 34
078 SALTO.OSORIO   1    08       F                 37
078 SALTO.OSORIO   1    09       F                 43
078 SALTO.OSORIO   1    10       F                 50
078 SALTO.OSORIO   1    11       F                 52
082  SALTOCAXIAS   1    05       F                181
082  SALTOCAXIAS   1    06       F                196
082  SALTOCAXIAS   1    07       F                211
082  SALTOCAXIAS   1    08       F                233
082  SALTOCAXIAS   1    09       F                268
082  SALTOCAXIAS   1    10       F                316
082  SALTOCAXIAS   1    11       F                330
083  BAIXOIGUACU   1    05       F                 72
083  BAIXOIGUACU   1    06       F                 78
083  BAIXOIGUACU   1    07       F                 84
083  BAIXOIGUACU   1    08       F                 93
083  BAIXOIGUACU   1    09       F                107
083  BAIXOIGUACU   1    10       F                126
083  BAIXOIGUACU   1    11       F                132
278        MANSO   1    05       F                 30
278        MANSO   1    06       F                 30
278        MANSO   1    07       F                 30
278        MANSO   1    08       F                 30
278        MANSO   1    09       F                 30
278        MANSO   1    10       F                 30
278        MANSO   1    11       F                 30
304   ITIQUIRA.I   1    05       F                 29
304   ITIQUIRA.I   1    06       F                 29
304   ITIQUIRA.I   1    07       F                 29
304   ITIQUIRA.I   1    08       F                 29
304   ITIQUIRA.I   1    09       F                 29
304   ITIQUIRA.I   1    10       F                 29
304   ITIQUIRA.I   1    11       F                 29
305  ITIQUIRA.II   1    05       F                  1
305  ITIQUIRA.II   1    06       F                  1
305  ITIQUIRA.II   1    07       F                  1
305  ITIQUIRA.II   1    08       F                  1
305  ITIQUIRA.II   1    09       F                  1
305  ITIQUIRA.II   1    10       F                  1
305  ITIQUIRA.II   1    11       F                  1
281  PONTE.PEDRA   1    05       F                 56
281  PONTE.PEDRA   1    06       F                 56
281  PONTE.PEDRA   1    07       F                 56
281  PONTE.PEDRA   1    08       F                 56
281  PONTE.PEDRA   1    09       F                 56
281  PONTE.PEDRA   1    10       F                 56
281  PONTE.PEDRA   1    11       F                 56
195        JAURU   1    05       F                 49
195        JAURU   1    06       F                 49
195        JAURU   1    07       F                 49
195        JAURU   1    08       F                 49
195        JAURU   1    09       F                 48
195        JAURU   1    10       F                 48
195        JAURU   1    11       F                 49
086  BARRAGRANDE   1    05       F                368
086  BARRAGRANDE   1    06       F                385
086  BARRAGRANDE   1    07       F                391
086  BARRAGRANDE   1    08       F                390
086  BARRAGRANDE   1    09       F                410
086  BARRAGRANDE   1    10       F                455
086  BARRAGRANDE   1    11       F                466
088     SAOROQUE   1    05       F                224
088     SAOROQUE   1    06       F                237
088     SAOROQUE   1    07       F                250
088     SAOROQUE   1    08       F                261
088     SAOROQUE   1    09       F                272
