&& CABEÇALHO OCUPA AS TRES PRIMEIRAS LINHAS
&&COD  NOME------|-----JAN-|-----FEV-|-----MAR-|-----ABR-|-----MAI-|-----JUN-|-----JUL-|-----AGO-|-----SET-|-----OUT-|-----NOV-|-----DEZ-|
 MESPLAN=             9 ANOPLAN=          2024
  114 XXXXXXXXXXX     394.00    218.00    328.00    899.00   2590.00   1081.00    443.00    259.29   1251.00    991.00   1374.00    630.00
  115 XXXXXXXXXXX      25.00     24.00     21.00     28.00     16.00     15.00     23.00     16.03     17.00     63.00     44.00     21.00
  116 XXXXXXXXXXX      11.00      7.00      6.00      4.00      3.00      3.00      2.00      5.39      4.00      8.00      5.00      4.00
  117 XXXXXXXXXXX      37.00     36.00     26.00     20.00     18.00     16.00     16.00     16.06     18.00     31.00     23.00     19.00
  118 XXXXXXXXXXX      47.00     31.00     24.00     17.00     12.00     12.00     11.00     12.81     17.00     37.00     24.00     19.00
  119 XXXXXXXXXXX      58.00     38.00     30.00     21.00     15.00     15.00     13.00     15.52     21.00     45.00     29.00     23.00
  120 XXXXXXXXXXX      32.00     35.00     27.00     19.00     11.00      5.00     11.00     11.61     15.00     34.00     20.00     14.00
  121 XXXXXXXXXXX     102.00    149.00    127.00     66.00     44.00     33.00     32.00     34.42     44.00     91.00     61.00     46.00
  122 XXXXXXXXXXX     116.00    171.00    145.00     77.00     50.00     38.00     36.00     39.39     51.00    104.00     70.00     53.00
  123 XXXXXXXXXXX     346.00    427.00    364.00    252.00    146.00    118.00    110.00    105.29    102.00    251.00    195.00    190.00
  124 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  125 XXXXXXXXXXX     486.00    568.00    480.00    324.00    181.00    161.00    144.00    133.94    131.00    297.00    258.00    267.00
  126 XXXXXXXXXXX     340.00    340.00    340.00    282.00     99.00     71.00     44.00     43.94     56.00    189.00    138.00    141.00
  127 XXXXXXXXXXX     533.00    717.00    653.00    372.00    189.00    161.00    134.00    133.94    146.00    279.00    228.00    231.00
  128 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  129 XXXXXXXXXXX     734.00    909.00    844.00    547.00    313.00    270.00    232.00    225.39    238.00    456.00    404.00    406.00
  130 XXXXXXXXXXX     795.00   1000.00    939.00    609.00    349.00    298.00    253.00    248.03    265.00    492.00    442.00    438.00
  131 XXXXXXXXXXX     144.00    144.00    144.00    144.00    117.00    103.00     92.00     86.00     85.00    144.00    144.00    144.00
  132 XXXXXXXXXXX      38.00     32.00     31.00     15.00     10.00      9.00      9.00      7.45     10.00     18.00     16.00     15.00
  133 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  134 XXXXXXXXXXX     248.00    199.00    188.00     80.00     48.00     39.00     31.00     24.87     47.00     43.00     57.00     68.00
  135 XXXXXXXXXXX     151.00    145.00    145.00     86.00     53.00     47.00     41.00     33.00     54.00     75.00     85.00     61.00
  136 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  137 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  138 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  139 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  140 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  141 XXXXXXXXXXX     790.00    792.00    643.00    372.00    234.00    206.00    181.00    139.55    254.00    230.00    312.00    262.00
  142 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  143 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  144 XXXXXXXXXXX    1092.00   1208.00    922.00    560.00    346.00    312.00    277.00    206.52    383.00    322.00    436.00    352.00
  145 XXXXXXXXXXX     102.00    117.00    108.00     96.00     73.00     60.00     53.00     40.81     55.00     53.00     65.00     59.00
  146 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  147 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  148 XXXXXXXXXXX     892.00    945.00    744.00    442.00    274.00    244.00    216.00    163.48    303.00    261.00    358.00    293.00
  149 XXXXXXXXXXX     186.00    169.00    158.00     97.00     65.00     55.00     48.00     40.58     66.00     79.00    102.00     76.00
  150 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  151 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  152 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  153 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  154 XXXXXXXXXXX     110.00    105.00    114.00    148.00    107.00     94.00     87.00     83.74     88.00     87.00     93.00    109.00
  155 XXXXXXXXXXX     145.00    125.00    125.00     86.00     44.00     36.00     32.00     26.39     41.00     44.00     59.00     45.00
  156 XXXXXXXXXXX     675.00    583.00    580.00    514.00    183.00    142.00     98.00     57.06    155.00    142.00    219.00    249.00
  157 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  158 XXXXXXXXXXX      58.00     68.00     58.00     59.00     30.00     25.00     21.00     18.52     14.00     10.00     11.00      9.00
  159 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  160 XXXXXXXXXXX      16.00     15.00     14.00      7.00      6.00      5.00      5.00      4.48      6.00     12.00      7.00      6.00
  161 XXXXXXXXXXX     316.00    219.00    160.00     69.00     59.00     45.00     59.00     64.10     68.00    220.00    133.00     98.00
  162 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  163 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  164 XXXXXXXXXXX     232.00    152.00    110.00     32.00     29.00     17.00     32.00     35.16     33.00    152.00     86.00     60.00
  165 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  166 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00   1673.68      0.00      0.00      0.00      0.00
  167 XXXXXXXXXXX       0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00      0.00
  168 XXXXXXXXXXX    1632.00   2316.00   2163.00   1848.00    640.00    410.00    382.00    359.26    492.00    370.00    513.00    409.00
